x,y
22648.00,1.578125
22649.00,1.601563
22650.00,1.605469
22651.00,1.570313
22654.00,1.566406
22655.00,1.5625
22656.00,1.554688
22657.00,1.570313
22658.00,1.59375
22661.00,1.59375
22662.00,1.582031
22663.00,1.574219
22664.00,1.578125
22665.00,1.589844
22668.00,1.59375
22669.00,1.582031
22670.00,1.582031
22671.00,1.585938
22672.00,1.59375
22675.00,1.617188
22676.00,1.632813
22677.00,1.65625
22678.00,1.6875
22679.00,1.722656
22682.00,1.738281
22683.00,1.714844
22684.00,1.710938
22685.00,1.710938
22686.00,1.691406
22689.00,1.695313
22690.00,1.683594
22691.00,1.703125
22692.00,1.707031
22693.00,1.710938
22696.00,1.738281
22697.00,1.746094
22698.00,1.71875
22700.00,1.722656
22703.00,1.710938
22704.00,1.726563
22705.00,1.730469
22706.00,1.742188
22707.00,1.726563
22710.00,1.71875
22711.00,1.714844
22712.00,1.707031
22713.00,1.679688
22714.00,1.691406
22717.00,1.679688
22718.00,1.683594
22719.00,1.695313
22720.00,1.722656
22721.00,1.714844
22724.00,1.71875
22725.00,1.699219
22726.00,1.695313
22727.00,1.691406
22728.00,1.695313
22731.00,1.695313
22732.00,1.695313
22733.00,1.710938
22734.00,1.710938
22735.00,1.707031
22738.00,1.707031
22739.00,1.683594
22740.00,1.664063
22741.00,1.671875
22742.00,1.664063
22745.00,1.632813
22746.00,1.664063
22747.00,1.664063
22748.00,1.644531
22749.00,1.664063
22752.00,1.660156
22753.00,1.683594
22754.00,1.707031
22755.00,1.726563
22759.00,1.734375
22760.00,1.734375
22761.00,1.746094
22762.00,1.722656
22763.00,1.710938
22766.00,1.671875
22767.00,1.699219
22768.00,1.714844
22769.00,1.71875
22770.00,1.71875
22773.00,1.714844
22774.00,1.714844
22775.00,1.6875
22776.00,1.667969
22777.00,1.644531
22780.00,1.632813
22781.00,1.679688
22782.00,1.679688
22783.00,1.664063
22784.00,1.667969
22787.00,1.65625
22788.00,1.640625
22789.00,1.621094
22790.00,1.628906
22791.00,1.59375
22794.00,1.4375
22795.00,1.589844
22797.00,1.625
22798.00,1.597656
22801.00,1.554688
22802.00,1.585938
22803.00,1.609375
22804.00,1.617188
22805.00,1.605469
22808.00,1.59375
22809.00,1.550781
22810.00,1.554688
22811.00,1.535156
22812.00,1.5625
22815.00,1.570313
22816.00,1.558594
22817.00,1.550781
22818.00,1.539063
22819.00,1.523438
22822.00,1.515625
22823.00,1.507813
22824.00,1.527344
22825.00,1.558594
22826.00,1.5625
22829.00,1.566406
22830.00,1.5625
22832.00,1.570313
22833.00,1.570313
22836.00,1.570313
22837.00,1.597656
22838.00,1.617188
22839.00,1.621094
22840.00,1.621094
22843.00,1.625
22844.00,1.601563
22845.00,1.601563
22846.00,1.609375
22847.00,1.613281
22850.00,1.613281
22851.00,1.617188
22852.00,1.621094
22853.00,1.625
22854.00,1.621094
22857.00,1.628906
22858.00,1.636719
22859.00,1.625
22860.00,1.636719
22861.00,1.640625
22864.00,1.625
22865.00,1.617188
22866.00,1.613281
22867.00,1.621094
22868.00,1.621094
22871.00,1.621094
22872.00,1.625
22873.00,1.625
22874.00,1.628906
22875.00,1.636719
22878.00,1.644531
22879.00,1.648438
22880.00,1.648438
22881.00,1.636719
22882.00,1.628906
22885.00,1.632813
22886.00,1.621094
22887.00,1.625
22888.00,1.625
22889.00,1.625
22893.00,1.621094
22894.00,1.621094
22895.00,1.617188
22896.00,1.625
22899.00,1.628906
22900.00,1.632813
