Date,Open,High,Low,Close,Adj Close,Volume
1972-06-01,5.097222,5.125000,5.097222,5.111111,0.476960,106200
1972-06-02,5.125000,5.194445,5.125000,5.166667,0.482144,324000
1972-06-05,5.166667,5.173611,5.152778,5.152778,0.480848,136800
1972-06-06,5.152778,5.159722,5.125000,5.138889,0.479552,109800
1972-06-07,5.118055,5.118055,5.048611,5.048611,0.471127,172800
1972-06-08,5.048611,5.076389,5.000000,5.000000,0.466591,468000
1972-06-09,5.000000,5.000000,4.965278,4.972222,0.463999,331200
1972-06-12,4.972222,5.013889,4.951389,5.000000,0.466591,259200
1972-06-13,5.013889,5.083333,5.013889,5.069445,0.473071,289800
1972-06-14,5.083333,5.138889,5.083333,5.138889,0.479552,239400
1972-06-15,5.138889,5.229167,5.138889,5.152778,0.480848,995400
1972-06-16,5.152778,5.159722,5.131945,5.145833,0.480200,77400
1972-06-19,5.145833,5.159722,5.118055,5.118055,0.477608,226800
1972-06-20,5.125000,5.152778,5.125000,5.145833,0.480200,81000
1972-06-21,5.145833,5.194445,5.145833,5.194445,0.484736,160200
1972-06-22,5.194445,5.201389,5.145833,5.145833,0.480200,104400
1972-06-23,5.145833,5.152778,5.097222,5.131945,0.478904,151200
1972-06-26,5.118055,5.118055,5.055555,5.055555,0.471775,106200
1972-06-27,5.055555,5.069445,5.055555,5.069445,0.473071,169200
1972-06-28,5.062500,5.062500,5.013889,5.027778,0.469183,343800
1972-06-29,5.013889,5.013889,4.993055,4.993055,0.465943,73800
1972-06-30,4.993055,5.027778,4.986111,5.013889,0.467887,459000
1972-07-03,5.013889,5.034722,5.000000,5.020833,0.468535,39600
1972-07-05,5.020833,5.062500,5.006945,5.055555,0.471775,82800
1972-07-06,5.090278,5.145833,5.090278,5.111111,0.476960,270000
1972-07-07,5.111111,5.125000,5.104167,5.104167,0.476312,271800
1972-07-10,5.104167,5.111111,5.083333,5.111111,0.476960,99000
1972-07-11,5.111111,5.111111,5.062500,5.062500,0.472423,99000
1972-07-12,5.055555,5.055555,4.993055,5.000000,0.466591,570600
1972-07-13,4.993055,4.993055,4.930555,4.944445,0.461407,133200
1972-07-14,4.937500,4.937500,4.909722,4.916667,0.458815,108000
1972-07-17,4.916667,4.923611,4.854167,4.854167,0.452982,207000
1972-07-18,4.854167,4.902778,4.854167,4.902778,0.457518,154800
1972-07-19,4.916667,4.972222,4.916667,4.958333,0.462703,124200
1972-07-20,4.958333,4.972222,4.916667,4.916667,0.458815,851400
1972-07-21,4.916667,4.916667,4.895833,4.902778,0.457518,111600
1972-07-24,4.902778,4.937500,4.902778,4.923611,0.459463,154800
1972-07-25,4.923611,4.951389,4.923611,4.944445,0.461407,572400
1972-07-26,4.944445,4.958333,4.930555,4.951389,0.462055,261000
1972-07-27,4.951389,4.972222,4.930555,4.930555,0.460111,138600
1972-07-28,4.937500,4.972222,4.937500,4.937500,0.460758,109800
1972-07-31,4.944445,4.979167,4.944445,4.979167,0.464647,187200
1972-08-01,4.979167,5.055555,4.965278,5.041667,0.470479,556200
1972-08-02,5.041667,5.138889,5.041667,5.104167,0.476312,271800
1972-08-03,5.111111,5.187500,5.111111,5.166667,0.482144,217800
1972-08-04,5.159722,5.159722,5.138889,5.145833,0.480200,140400
1972-08-07,5.145833,5.145833,5.118055,5.118055,0.477608,210600
1972-08-08,5.118055,5.145833,5.097222,5.131945,0.478904,190800
1972-08-09,5.131945,5.145833,5.090278,5.097222,0.475663,100800
1972-08-10,5.097222,5.131945,5.097222,5.131945,0.478904,723600
1972-08-11,5.145833,5.326389,5.145833,5.305555,0.495105,630000
1972-08-14,5.361111,5.409722,5.361111,5.361111,0.500289,324000
1972-08-15,5.361111,5.388889,5.333333,5.368055,0.500937,295200
1972-08-16,5.368055,5.375000,5.319445,5.333333,0.497697,169200
1972-08-17,5.333333,5.388889,5.333333,5.354167,0.499641,156600
1972-08-18,5.354167,5.402778,5.354167,5.361111,0.500289,160200
1972-08-21,5.361111,5.381945,5.347222,5.381945,0.502233,136800
1972-08-22,5.381945,5.402778,5.375000,5.395833,0.503530,163800
1972-08-23,5.361111,5.361111,5.333333,5.347222,0.498993,183600
1972-08-24,5.347222,5.375000,5.326389,5.333333,0.497697,151200
1972-08-25,5.333333,5.375000,5.326389,5.361111,0.500289,253800
1972-08-28,5.361111,5.361111,5.333333,5.333333,0.497697,223200
1972-08-29,5.333333,5.388889,5.333333,5.361111,0.500289,198000
1972-08-30,5.388889,5.430555,5.388889,5.423611,0.506122,172800
1972-08-31,5.423611,5.458333,5.423611,5.430555,0.506770,174600
1972-09-01,5.458333,5.486111,5.458333,5.472222,0.510658,100800
1972-09-05,5.472222,5.472222,5.430555,5.430555,0.506770,144000
1972-09-06,5.423611,5.423611,5.388889,5.395833,0.503530,234000
1972-09-07,5.395833,5.423611,5.395833,5.402778,0.504178,165600
1972-09-08,5.402778,5.416667,5.395833,5.402778,0.504178,59400
1972-09-11,5.402778,5.423611,5.361111,5.361111,0.500289,261000
1972-09-12,5.354167,5.354167,5.340278,5.340278,0.498345,57600
1972-09-13,5.347222,5.368055,5.347222,5.368055,0.500937,63000
1972-09-14,5.368055,5.388889,5.361111,5.381945,0.502233,61200
1972-09-15,5.368055,5.368055,5.277778,5.291667,0.493809,586800
1972-09-18,5.263889,5.263889,5.236111,5.236111,0.488624,140400
1972-09-19,5.229167,5.229167,5.180555,5.180555,0.483440,136800
1972-09-20,5.173611,5.173611,5.138889,5.166667,0.482144,178200
1972-09-21,5.166667,5.166667,5.138889,5.152778,0.480848,100800
1972-09-22,5.159722,5.187500,5.159722,5.166667,0.482144,523800
1972-09-25,5.166667,5.166667,5.138889,5.138889,0.479552,178200
1972-09-26,5.138889,5.152778,5.083333,5.097222,0.475663,219600
1972-09-27,5.097222,5.138889,5.097222,5.138889,0.479552,208800
1972-09-28,5.159722,5.250000,5.159722,5.250000,0.489921,306000
1972-09-29,5.277778,5.326389,5.277778,5.326389,0.497049,1015200
1972-10-02,5.319445,5.319445,5.291667,5.298611,0.494457,126000
1972-10-03,5.298611,5.326389,5.298611,5.298611,0.494457,99000
1972-10-04,5.298611,5.298611,5.243055,5.250000,0.489921,138600
1972-10-05,5.243055,5.243055,5.166667,5.166667,0.482144,106200
1972-10-06,5.166667,5.222222,5.111111,5.187500,0.484088,216000
1972-10-09,5.187500,5.194445,5.159722,5.194445,0.484736,72000
1972-10-10,5.201389,5.243055,5.201389,5.201389,0.485384,79200
1972-10-11,5.201389,5.215278,5.180555,5.180555,0.483440,156600
1972-10-12,5.180555,5.180555,5.145833,5.166667,0.482144,88200
1972-10-13,5.152778,5.152778,5.118055,5.125000,0.478256,131400
1972-10-16,5.111111,5.111111,5.062500,5.069445,0.473071,86400
1972-10-17,5.069445,5.097222,5.069445,5.076389,0.473720,273600
1972-10-18,5.097222,5.187500,5.097222,5.187500,0.484088,349200
1972-10-19,5.194445,5.243055,5.194445,5.222222,0.487328,423000
1972-10-20,5.222222,5.277778,5.201389,5.250000,0.489921,347400
1972-10-23,5.291667,5.319445,5.291667,5.291667,0.493809,207000
1972-10-24,5.291667,5.319445,5.277778,5.291667,0.493809,133200
1972-10-25,5.305555,5.333333,5.305555,5.319445,0.496401,513000
1972-10-26,5.319445,5.319445,5.263889,5.291667,0.493809,545400
1972-10-27,5.291667,5.305555,5.263889,5.305555,0.495105,212400
1972-10-30,5.305555,5.319445,5.277778,5.312500,0.495753,261000
1972-10-31,5.312500,5.333333,5.277778,5.333333,0.497697,338400
1972-11-01,5.347222,5.388889,5.347222,5.375000,0.501585,135000
1972-11-02,5.388889,5.437500,5.388889,5.437500,0.507418,163800
1972-11-03,5.444445,5.555555,5.444445,5.527778,0.515842,433800
1972-11-06,5.534722,5.576389,5.534722,5.534722,0.516490,392400
1972-11-08,5.534722,5.569445,5.527778,5.534722,0.516490,480600
1972-11-09,5.534722,5.562500,5.506945,5.562500,0.519082,259200
1972-11-10,5.562500,5.597222,5.548611,5.569445,0.519731,288000
1972-11-13,5.569445,5.583333,5.541667,5.583333,0.521027,241200
1972-11-14,5.576389,5.576389,5.541667,5.541667,0.517138,180000
1972-11-15,5.555555,5.611111,5.555555,5.597222,0.522323,352800
1972-11-16,5.597222,5.833333,5.590278,5.833333,0.544356,761400
1972-11-17,5.840278,5.930555,5.840278,5.861111,0.546948,1634400
1972-11-20,5.861111,5.861111,5.777778,5.805555,0.541764,266400
1972-11-21,5.805555,5.847222,5.777778,5.847222,0.545652,489600
1972-11-22,5.833333,5.833333,5.750000,5.784722,0.539820,181800
1972-11-24,5.791667,5.819445,5.791667,5.805555,0.541764,113400
1972-11-27,5.805555,5.826389,5.805555,5.819445,0.543060,342000
1972-11-28,5.819445,5.840278,5.791667,5.798611,0.541116,448200
1972-11-29,5.798611,5.798611,5.750000,5.750000,0.536580,216000
1972-11-30,5.722222,5.722222,5.597222,5.625000,0.524915,277200
1972-12-01,5.625000,5.666667,5.618055,5.652778,0.527507,198000
1972-12-04,5.652778,5.659722,5.618055,5.652778,0.527507,167400
1972-12-05,5.652778,5.659722,5.625000,5.638889,0.526211,360000
1972-12-06,5.638889,5.652778,5.625000,5.638889,0.526211,358200
1972-12-07,5.638889,5.659722,5.618055,5.638889,0.526211,275400
1972-12-08,5.638889,5.659722,5.638889,5.652778,0.527507,59400
1972-12-11,5.652778,5.694445,5.631945,5.694445,0.531396,104400
1972-12-12,5.736111,5.798611,5.736111,5.777778,0.539172,297000
1972-12-13,5.743055,5.743055,5.708333,5.708333,0.532691,167400
1972-12-14,5.722222,5.805555,5.722222,5.805555,0.541764,399600
1972-12-15,5.805555,5.812500,5.777778,5.791667,0.540468,471600
1972-12-18,5.736111,5.736111,5.666667,5.694445,0.531396,212400
1972-12-19,5.645833,5.645833,5.569445,5.597222,0.522323,405000
1972-12-20,5.625000,5.666667,5.625000,5.638889,0.526211,433800
1972-12-21,5.638889,5.666667,5.625000,5.625000,0.524915,415800
1972-12-22,5.611111,5.611111,5.583333,5.611111,0.523619,396000
1972-12-26,5.611111,5.611111,5.569445,5.583333,0.521027,169200
1972-12-27,5.583333,5.597222,5.527778,5.597222,0.522323,457200
1972-12-29,5.611111,6.180555,5.611111,5.638889,0.526211,460800
1973-01-02,5.638889,5.673611,5.618055,5.673611,0.529451,352800
1973-01-03,5.736111,5.888889,5.736111,5.888889,0.549540,498600
1973-01-04,5.888889,5.888889,5.833333,5.847222,0.545652,369000
1973-01-05,5.840278,5.840278,5.777778,5.791667,0.540468,268200
1973-01-08,5.798611,5.868055,5.798611,5.833333,0.544356,271800
1973-01-09,5.833333,5.854167,5.819445,5.819445,0.543060,171000
1973-01-10,5.805555,5.805555,5.750000,5.750000,0.536580,219600
1973-01-11,5.736111,5.736111,5.652778,5.701389,0.532044,297000
1973-01-12,5.701389,5.715278,5.673611,5.694445,0.531396,363600
1973-01-15,5.694445,5.722222,5.638889,5.645833,0.526859,408600
1973-01-16,5.645833,5.673611,5.625000,5.652778,0.527507,165600
1973-01-17,5.666667,5.798611,5.666667,5.798611,0.541116,205200
1973-01-18,5.798611,5.826389,5.763889,5.770833,0.538523,734400
1973-01-19,5.770833,5.777778,5.750000,5.750000,0.536580,225000
1973-01-22,5.743055,5.743055,5.666667,5.666667,0.528803,396000
1973-01-23,5.631945,5.631945,5.611111,5.611111,0.523619,662400
1973-01-24,5.611111,5.680555,5.500000,5.506945,0.513898,473400
1973-01-26,5.506945,5.534722,5.465278,5.493055,0.512602,426600
1973-01-29,5.493055,5.493055,5.444445,5.472222,0.510658,212400
1973-01-30,5.472222,5.520833,5.444445,5.472222,0.510658,622800
1973-01-31,5.472222,5.479167,5.409722,5.409722,0.504826,289800
1973-02-01,5.409722,5.423611,5.395833,5.402778,0.504178,374400
1973-02-02,5.402778,5.465278,5.402778,5.465278,0.510010,210600
1973-02-05,5.465278,5.479167,5.451389,5.465278,0.510010,306000
1973-02-06,5.472222,5.500000,5.472222,5.500000,0.513250,181800
1973-02-07,5.506945,5.576389,5.506945,5.506945,0.513898,343800
1973-02-08,5.506945,5.527778,5.500000,5.513889,0.514546,158400
1973-02-09,5.527778,5.743055,5.527778,5.694445,0.531396,646200
1973-02-12,5.777778,5.833333,5.777778,5.819445,0.543060,322200
1973-02-13,5.861111,6.055555,5.861111,5.930555,0.553429,968400
1973-02-14,5.916667,5.916667,5.805555,5.868055,0.547596,396000
1973-02-15,5.868055,5.888889,5.777778,5.784722,0.539820,309600
1973-02-16,5.777778,5.777778,5.687500,5.763889,0.537876,329400
1973-02-20,5.763889,5.819445,5.763889,5.784722,0.539820,174600
1973-02-21,5.805555,5.833333,5.805555,5.805555,0.541764,122400
1973-02-22,5.805555,5.847222,5.805555,5.847222,0.545652,124200
1973-02-23,5.847222,5.861111,5.826389,5.833333,0.544356,187200
1973-02-26,5.833333,5.833333,5.750000,5.777778,0.539172,230400
1973-02-27,5.777778,5.805555,5.638889,5.638889,0.526211,271800
