Date,Open,High,Low,Close,Adj Close,Volume
2018-09-17,207.460007,210.190002,207.300003,209.529999,209.529999,1610400
2018-09-18,210.240005,211.830002,208.429993,211.529999,211.529999,1652900
2018-09-19,211.770004,214.139999,211.630005,213.119995,213.119995,1884500
2018-09-20,214.699997,217.000000,213.259995,215.270004,215.270004,2075100
2018-09-21,217.320007,217.869995,215.610001,216.330002,216.330002,5563700
2018-09-24,215.389999,215.869995,212.690002,213.509995,213.509995,2044800
2018-09-25,214.130005,214.130005,210.279999,210.639999,210.639999,2090600
2018-09-26,211.490005,212.589996,210.639999,211.070007,211.070007,1677700
2018-09-27,212.000000,212.869995,210.000000,210.110001,210.110001,1609800
2018-09-28,209.529999,211.279999,208.869995,210.710007,210.710007,2500200
2018-10-01,212.399994,213.399994,211.309998,212.190002,212.190002,1828800
2018-10-02,212.380005,215.839996,212.100006,215.710007,215.710007,1749400
2018-10-03,216.000000,217.339996,214.940002,215.759995,215.759995,2139200
2018-10-04,214.850006,215.660004,212.039993,213.839996,213.839996,1682500
2018-10-05,214.350006,215.029999,211.059998,213.190002,213.190002,2140300
2018-10-08,213.130005,214.580002,212.259995,214.369995,214.369995,1666700
2018-10-09,212.679993,213.110001,209.639999,210.419998,210.419998,2947400
2018-10-10,209.190002,209.190002,201.550003,202.149994,202.149994,3525200
2018-10-11,201.149994,202.910004,196.500000,196.729996,196.729996,3497200
2018-10-12,200.869995,202.550003,195.929993,198.229996,198.229996,2772200
