Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,8.000000,8.125000,8.000000,8.000000,0.923455,104400
1980-03-18,8.218750,8.343750,8.218750,8.218750,0.948706,144000
1980-03-19,8.375000,8.500000,8.375000,8.375000,0.966742,222800
1980-03-20,8.593750,8.718750,8.593750,8.593750,0.991992,455200
1980-03-21,8.593750,8.687500,8.562500,8.562500,0.988386,114800
1980-03-24,8.562500,8.687500,8.562500,8.562500,0.988386,184400
1980-03-25,8.593750,8.718750,8.593750,8.593750,0.991992,57600
1980-03-26,8.593750,8.718750,8.593750,8.593750,0.991992,288000
1980-03-27,8.500000,8.500000,8.375000,8.375000,0.966742,346800
1980-03-28,8.437500,8.562500,8.437500,8.437500,0.973956,164400
1980-03-31,8.437500,8.500000,8.375000,8.375000,0.966742,54000
1980-04-01,8.656250,8.781250,8.656250,8.656250,0.999208,438400
1980-04-02,8.937500,9.062500,8.937500,8.937500,1.031672,494400
1980-04-03,8.937500,9.062500,8.937500,8.937500,1.031672,171200
1980-04-07,8.750000,8.750000,8.625000,8.625000,0.995600,109600
1980-04-08,8.750000,8.875000,8.750000,8.750000,1.010029,138400
1980-04-09,8.937500,9.062500,8.937500,8.937500,1.031672,261600
1980-04-10,8.937500,9.000000,8.875000,8.875000,1.024458,367200
1980-04-11,8.875000,8.968750,8.843750,8.843750,1.020851,70000
1980-04-14,8.843750,8.937500,8.812500,8.812500,1.017243,119200
1980-04-15,8.812500,8.937500,8.812500,8.812500,1.017243,143600
1980-04-16,8.812500,8.906250,8.781250,8.781250,1.013636,280400
1980-04-17,8.781250,8.812500,8.687500,8.687500,1.002815,172000
1980-04-18,8.750000,8.875000,8.750000,8.750000,1.010029,95600
1980-04-21,8.750000,8.843750,8.718750,8.718750,1.006421,74400
1980-04-22,8.781250,8.906250,8.781250,8.781250,1.013636,98000
1980-04-23,8.875000,9.000000,8.875000,8.875000,1.024458,219200
1980-04-24,8.906250,9.031250,8.906250,8.906250,1.028066,21600
1980-04-25,8.906250,8.968750,8.843750,8.843750,1.020851,26000
1980-04-28,8.843750,8.968750,8.843750,8.843750,1.020851,136000
1980-04-29,8.843750,8.937500,8.812500,8.812500,1.017243,43200
1980-04-30,8.812500,8.937500,8.812500,8.812500,1.017243,101200
1980-05-01,8.750000,8.750000,8.625000,8.625000,0.995600,37600
1980-05-02,8.625000,8.718750,8.593750,8.593750,0.991992,61600
1980-05-05,8.625000,8.750000,8.625000,8.625000,0.995600,148800
1980-05-06,8.750000,8.875000,8.750000,8.750000,1.010029,126000
1980-05-07,8.750000,8.875000,8.750000,8.750000,1.010029,76400
1980-05-08,8.750000,8.843750,8.718750,8.718750,1.006421,66000
1980-05-09,8.718750,8.843750,8.718750,8.718750,1.006421,33200
1980-05-12,8.718750,8.812500,8.687500,8.687500,1.002815,6800
1980-05-13,8.812500,8.937500,8.812500,8.812500,1.017243,82800
1980-05-14,9.218750,9.343750,9.218750,9.218750,1.064137,200400
1980-05-15,9.500000,9.625000,9.500000,9.500000,1.096603,238400
1980-05-16,9.500000,9.562500,9.437500,9.437500,1.089389,88800
1980-05-19,9.375000,9.375000,9.250000,9.250000,1.067745,44800
1980-05-20,9.187500,9.187500,9.062500,9.062500,1.046102,79600
1980-05-21,9.062500,9.093750,8.968750,8.968750,1.035280,30800
1980-05-22,8.968750,9.062500,8.937500,8.937500,1.031672,34800
1980-05-23,8.968750,9.093750,8.968750,8.968750,1.035280,53600
1980-05-27,9.000000,9.125000,9.000000,9.000000,1.038886,76400
1980-05-28,9.000000,9.031250,8.906250,8.906250,1.028066,68000
1980-05-29,8.906250,9.000000,8.875000,8.875000,1.024458,64400
1980-05-30,8.875000,9.000000,8.875000,8.875000,1.024458,56000
1980-06-02,8.875000,8.968750,8.843750,8.843750,1.020851,88400
1980-06-03,8.843750,8.937500,8.812500,8.812500,1.017243,96800
1980-06-04,8.875000,9.000000,8.875000,8.875000,1.024458,134000
1980-06-05,8.906250,9.031250,8.906250,8.906250,1.028066,220000
1980-06-06,8.906250,8.968750,8.843750,8.843750,1.020851,199600
1980-06-09,8.843750,8.937500,8.812500,8.812500,1.017243,147600
1980-06-10,8.906250,9.031250,8.906250,8.906250,1.028066,119600
1980-06-11,8.906250,9.000000,8.875000,8.875000,1.024458,220800
1980-06-12,8.875000,8.937500,8.812500,8.812500,1.017243,104400
1980-06-13,8.843750,8.968750,8.843750,8.843750,1.020851,126000
1980-06-16,8.843750,8.968750,8.843750,8.843750,1.020851,82000
1980-06-17,8.843750,8.968750,8.843750,8.843750,1.020851,20400
1980-06-18,8.843750,8.968750,8.843750,8.843750,1.020851,205200
1980-06-19,8.843750,8.968750,8.843750,8.843750,1.020851,23600
1980-06-20,8.843750,8.968750,8.843750,8.843750,1.020851,25600
1980-06-23,8.843750,8.968750,8.843750,8.843750,1.020851,20400
1980-06-24,8.843750,8.937500,8.812500,8.812500,1.017243,59600
1980-06-25,8.906250,9.031250,8.906250,8.906250,1.028066,42800
1980-06-26,9.062500,9.187500,9.062500,9.062500,1.046102,265600
1980-06-27,9.125000,9.250000,9.125000,9.125000,1.053316,46400
1980-06-30,9.125000,9.187500,9.062500,9.062500,1.046102,35600
1980-07-01,9.062500,9.187500,9.062500,9.062500,1.046102,71200
1980-07-02,9.093750,9.218750,9.093750,9.093750,1.049709,74800
1980-07-03,9.093750,9.218750,9.093750,9.093750,1.049709,155600
1980-07-07,9.156250,9.187500,9.156250,9.156250,1.056923,15600
1980-07-08,9.125000,9.125000,9.093750,9.093750,1.049709,44800
1980-07-09,9.093750,9.125000,9.093750,9.093750,1.049709,17600
1980-07-10,8.843750,8.843750,8.812500,8.812500,1.017243,186400
1980-07-11,8.875000,8.906250,8.875000,8.875000,1.024458,114800
1980-07-14,8.906250,8.968750,8.906250,8.906250,1.028066,80400
1980-07-15,8.906250,8.968750,8.906250,8.906250,1.028066,128400
1980-07-16,8.906250,8.906250,8.843750,8.843750,1.020851,20800
1980-07-17,8.906250,8.937500,8.906250,8.906250,1.028066,126800
1980-07-18,9.062500,9.093750,9.062500,9.062500,1.046102,368000
1980-07-21,9.062500,9.093750,9.062500,9.062500,1.046102,79200
1980-07-22,8.906250,8.906250,8.843750,8.843750,1.020851,166800
1980-07-23,9.000000,9.031250,9.000000,9.000000,1.038886,280000
1980-07-24,9.062500,9.093750,9.062500,9.062500,1.046102,214000
1980-07-25,9.062500,9.062500,9.031250,9.031250,1.042495,63600
1980-07-28,9.031250,9.062500,9.031250,9.031250,1.042495,25600
1980-07-29,9.000000,9.000000,8.968750,8.968750,1.035280,78400
1980-07-30,9.031250,9.093750,9.031250,9.031250,1.042495,126400
1980-07-31,9.062500,9.125000,9.062500,9.062500,1.046102,57200
1980-08-01,9.062500,9.125000,9.062500,9.062500,1.046102,132000
1980-08-04,9.062500,9.062500,9.031250,9.031250,1.042495,90800
1980-08-05,9.062500,9.093750,9.062500,9.062500,1.046102,118400
1980-08-06,9.031250,9.031250,8.968750,8.968750,1.035280,202400
1980-08-07,8.968750,9.000000,8.968750,8.968750,1.035280,12400
1980-08-08,8.968750,8.968750,8.968750,8.968750,1.035280,48800
1980-08-11,8.937500,8.937500,8.906250,8.906250,1.028066,236000
1980-08-12,8.906250,8.937500,8.906250,8.906250,1.028066,78800
1980-08-13,9.031250,9.062500,9.031250,9.031250,1.042495,336400
1980-08-14,9.156250,9.218750,9.156250,9.156250,1.056923,54000
1980-08-15,9.218750,9.250000,9.218750,9.218750,1.064137,187600
1980-08-18,9.125000,9.125000,9.062500,9.062500,1.046102,78000
1980-08-19,9.062500,9.062500,9.031250,9.031250,1.042495,101200
1980-08-20,9.062500,9.093750,9.062500,9.062500,1.046102,81600
1980-08-21,9.093750,9.125000,9.093750,9.093750,1.049709,114400
1980-08-22,9.187500,9.218750,9.187500,9.187500,1.060531,282000
1980-08-25,9.187500,9.218750,9.187500,9.187500,1.060531,19200
1980-08-26,9.437500,9.468750,9.437500,9.437500,1.089389,256800
1980-08-27,9.500000,9.562500,9.500000,9.500000,1.096603,176800
1980-08-28,9.531250,9.562500,9.531250,9.531250,1.100210,96000
1980-08-29,9.531250,9.531250,9.500000,9.500000,1.096603,13600
1980-09-02,9.531250,9.562500,9.531250,9.531250,1.100210,61200
1980-09-03,9.625000,9.687500,9.625000,9.625000,1.111032,276000
1980-09-04,9.625000,9.656250,9.625000,9.625000,1.111032,114800
1980-09-05,9.625000,9.656250,9.625000,9.625000,1.111032,187600
1980-09-08,9.593750,9.593750,9.562500,9.562500,1.103818,104400
1980-09-09,9.656250,9.687500,9.656250,9.656250,1.114640,156400
1980-09-10,9.718750,9.750000,9.718750,9.718750,1.121853,84000
1980-09-11,10.000000,10.031250,10.000000,10.000000,1.154319,207600
1980-09-12,10.000000,10.000000,9.968750,9.968750,1.150712,152800
1980-09-15,9.968750,9.968750,9.937500,9.937500,1.147104,52800
1980-09-16,9.937500,9.968750,9.906250,9.906250,1.143497,28400
1980-09-17,9.937500,9.968750,9.937500,9.937500,1.147104,103200
1980-09-18,9.937500,9.968750,9.937500,9.937500,1.147104,117200
1980-09-19,9.968750,10.031250,9.968750,9.968750,1.150712,396400
1980-09-22,10.000000,10.031250,10.000000,10.000000,1.154319,49600
1980-09-23,10.031250,10.062500,10.031250,10.031250,1.157926,99200
1980-09-24,9.937500,9.937500,9.906250,9.906250,1.143497,22000
1980-09-25,9.843750,9.843750,9.812500,9.812500,1.132676,28400
1980-09-26,9.593750,9.593750,9.562500,9.562500,1.103818,116400
1980-09-29,9.531250,9.531250,9.500000,9.500000,1.096603,48400
1980-09-30,9.531250,9.593750,9.531250,9.531250,1.100210,18400
1980-10-01,9.593750,9.625000,9.593750,9.593750,1.107425,98400
1980-10-02,9.718750,9.750000,9.718750,9.718750,1.121853,134000
1980-10-03,9.718750,9.750000,9.718750,9.718750,1.121853,107200
1980-10-06,9.781250,9.843750,9.781250,9.781250,1.129068,69600
1980-10-07,9.812500,9.843750,9.812500,9.812500,1.132676,106800
1980-10-08,9.843750,9.875000,9.843750,9.843750,1.136283,22400
1980-10-09,9.843750,9.875000,9.843750,9.843750,1.136283,39600
1980-10-10,9.843750,9.906250,9.843750,9.843750,1.136283,45200
1980-10-13,9.875000,9.937500,9.875000,9.875000,1.139891,13200
1980-10-14,9.875000,9.937500,9.875000,9.875000,1.139891,297200
1980-10-15,9.781250,9.781250,9.718750,9.718750,1.121853,437200
1980-10-16,9.718750,9.750000,9.687500,9.687500,1.118246,87200
1980-10-17,9.687500,9.687500,9.625000,9.625000,1.111032,61200
1980-10-20,9.625000,9.656250,9.593750,9.593750,1.107425,67600
1980-10-21,9.437500,9.437500,9.375000,9.375000,1.082174,53600
1980-10-22,9.375000,9.375000,9.312500,9.312500,1.074959,47600
1980-10-23,9.093750,9.093750,9.031250,9.031250,1.042495,92400
1980-10-24,9.000000,9.000000,8.937500,8.937500,1.031672,134400
1980-10-27,8.937500,8.937500,8.906250,8.906250,1.028066,116000
1980-10-28,8.906250,8.906250,8.843750,8.843750,1.020851,150800
1980-10-29,8.843750,8.843750,8.781250,8.781250,1.013636,1851600
1980-10-30,8.781250,8.781250,8.750000,8.750000,1.010029,94800
1980-10-31,8.750000,8.812500,8.750000,8.750000,1.010029,134400
1980-11-03,8.781250,8.843750,8.781250,8.781250,1.013636,17200
