Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,1.234375,1.257813,1.234375,1.257813,0.014057,243200
1970-01-05,1.257813,1.265625,1.250000,1.253906,0.014014,172800
1970-01-06,1.253906,1.253906,1.242188,1.250000,0.013970,281600
1970-01-07,1.250000,1.250000,1.226563,1.234375,0.013795,124800
1970-01-08,1.234375,1.246094,1.226563,1.226563,0.013708,102400
1970-01-09,1.226563,1.250000,1.226563,1.234375,0.013795,134400
1970-01-12,1.234375,1.246094,1.234375,1.242188,0.013883,80000
1970-01-13,1.234375,1.234375,1.199219,1.199219,0.013402,608000
1970-01-14,1.195313,1.195313,1.113281,1.121094,0.012529,745600
1970-01-15,1.113281,1.113281,1.062500,1.078125,0.012049,694400
1970-01-16,1.070313,1.070313,1.046875,1.066406,0.011918,700800
1970-01-19,1.062500,1.062500,1.031250,1.031250,0.011525,473600
1970-01-20,1.031250,1.031250,0.992188,1.023438,0.011438,912000
1970-01-21,1.023438,1.058594,1.011719,1.050781,0.011744,512000
1970-01-22,1.050781,1.093750,1.046875,1.085938,0.012136,457600
1970-01-23,1.085938,1.093750,1.050781,1.050781,0.011744,387200
1970-01-26,1.050781,1.062500,1.011719,1.062500,0.011874,528000
1970-01-27,1.062500,1.070313,1.035156,1.058594,0.011831,700800
1970-01-28,1.058594,1.101563,1.058594,1.062500,0.011874,457600
1970-01-29,1.062500,1.062500,1.031250,1.062500,0.011874,982400
1970-01-30,1.058594,1.058594,1.023438,1.027344,0.011482,272000
1970-02-02,1.031250,1.062500,1.031250,1.058594,0.011831,275200
1970-02-03,1.058594,1.062500,1.015625,1.027344,0.011482,515200
1970-02-04,1.027344,1.031250,1.000000,1.000000,0.011176,492800
1970-02-05,1.000000,1.000000,0.988281,0.996094,0.011132,160000
1970-02-06,0.992188,0.992188,0.960938,0.976563,0.010914,633600
1970-02-09,0.976563,0.976563,0.945313,0.945313,0.010565,406400
1970-02-10,0.945313,0.957031,0.910156,0.910156,0.010172,652800
1970-02-11,0.910156,0.980469,0.906250,0.960938,0.010739,873600
1970-02-12,0.960938,0.960938,0.937500,0.960938,0.010739,1296000
1970-02-13,0.960938,0.968750,0.937500,0.953125,0.010652,608000
1970-02-16,0.953125,0.960938,0.937500,0.937500,0.010477,924800
1970-02-17,0.937500,0.949219,0.929688,0.945313,0.010726,755200
1970-02-18,0.945313,0.968750,0.941406,0.968750,0.010992,1075200
1970-02-19,1.000000,1.062500,1.000000,1.023438,0.011612,992000
1970-02-20,1.023438,1.042969,1.015625,1.042969,0.011834,1177600
1970-02-24,1.042969,1.054688,1.035156,1.050781,0.011922,841600
1970-02-25,1.070313,1.171875,1.070313,1.156250,0.013119,2160000
1970-02-26,1.152344,1.152344,1.101563,1.148438,0.013030,828800
1970-02-27,1.164063,1.199219,1.164063,1.179688,0.013385,1897600
1970-03-02,1.179688,1.195313,1.113281,1.121094,0.012720,1737600
1970-03-03,1.121094,1.148438,1.121094,1.140625,0.012942,464000
1970-03-04,1.140625,1.156250,1.136719,1.136719,0.012897,620800
1970-03-05,1.148438,1.156250,1.148438,1.152344,0.013075,396800
1970-03-06,1.152344,1.152344,1.132813,1.136719,0.012897,880000
1970-03-09,1.136719,1.144531,1.113281,1.117188,0.012676,361600
1970-03-10,1.109375,1.109375,1.070313,1.085938,0.012321,563200
1970-03-11,1.085938,1.085938,1.066406,1.078125,0.012233,313600
1970-03-12,1.078125,1.082031,1.066406,1.066406,0.012100,227200
1970-03-13,1.078125,1.101563,1.078125,1.078125,0.012233,441600
1970-03-16,1.089844,1.117188,1.089844,1.109375,0.012587,316800
1970-03-17,1.109375,1.136719,1.093750,1.125000,0.012764,556800
1970-03-18,1.125000,1.125000,1.097656,1.097656,0.012454,230400
1970-03-19,1.097656,1.101563,1.082031,1.089844,0.012366,227200
1970-03-20,1.089844,1.101563,1.066406,1.074219,0.012188,140800
1970-03-23,1.074219,1.093750,1.062500,1.093750,0.012410,230400
1970-03-24,1.093750,1.109375,1.082031,1.109375,0.012587,448000
1970-03-25,1.109375,1.156250,1.105469,1.148438,0.013030,1049600
1970-03-26,1.148438,1.152344,1.132813,1.132813,0.012853,281600
1970-03-30,1.132813,1.148438,1.125000,1.132813,0.012853,710400
1970-03-31,1.132813,1.132813,1.121094,1.125000,0.012764,204800
1970-04-01,1.125000,1.136719,1.117188,1.132813,0.012853,560000
1970-04-02,1.132813,1.140625,1.109375,1.109375,0.012587,364800
1970-04-03,1.109375,1.136719,1.105469,1.117188,0.012676,371200
1970-04-06,1.117188,1.125000,1.109375,1.109375,0.012587,108800
1970-04-07,1.109375,1.125000,1.093750,1.121094,0.012720,201600
1970-04-08,1.121094,1.125000,1.113281,1.125000,0.012764,249600
1970-04-09,1.125000,1.136719,1.121094,1.132813,0.012853,272000
1970-04-10,1.132813,1.132813,1.093750,1.101563,0.012499,128000
1970-04-13,1.097656,1.097656,1.074219,1.093750,0.012410,201600
1970-04-14,1.082031,1.082031,1.066406,1.070313,0.012144,326400
1970-04-15,1.070313,1.085938,1.062500,1.078125,0.012233,211200
1970-04-16,1.074219,1.074219,1.058594,1.066406,0.012100,144000
1970-04-17,1.066406,1.089844,1.058594,1.085938,0.012321,300800
1970-04-20,1.085938,1.093750,1.062500,1.082031,0.012277,201600
1970-04-21,1.082031,1.085938,1.070313,1.070313,0.012144,192000
1970-04-22,1.070313,1.082031,1.062500,1.062500,0.012055,182400
1970-04-23,1.054688,1.054688,1.011719,1.011719,0.011479,377600
1970-04-24,1.011719,1.019531,0.988281,1.000000,0.011346,419200
1970-04-27,1.000000,1.000000,0.953125,0.953125,0.010814,240000
1970-04-28,0.945313,0.945313,0.921875,0.933594,0.010593,1328000
1970-04-29,0.933594,0.953125,0.925781,0.949219,0.010770,982400
1970-04-30,0.949219,0.957031,0.937500,0.937500,0.010637,576000
1970-05-01,0.937500,0.953125,0.937500,0.953125,0.010814,451200
1970-05-04,0.945313,0.945313,0.890625,0.890625,0.010105,921600
