Date,y
02-01-62,1.578125
03-01-62,1.601563
04-01-62,1.605469
05-01-62,1.570313
08-01-62,1.566406
09-01-62,1.5625
10-01-62,1.554688
11-01-62,1.570313
12-01-62,1.59375
15-01-62,1.59375
16-01-62,1.582031
17-01-62,1.574219
18-01-62,1.578125
19-01-62,1.589844
22-01-62,1.59375
23-01-62,1.582031
24-01-62,1.582031
25-01-62,1.585938
26-01-62,1.59375
29-01-62,1.617188
30-01-62,1.632813
31-01-62,1.65625
01-02-62,1.6875
02-02-62,1.722656
05-02-62,1.738281
06-02-62,1.714844
07-02-62,1.710938
08-02-62,1.710938
09-02-62,1.691406
12-02-62,1.695313
13-02-62,1.683594
14-02-62,1.703125
15-02-62,1.707031
16-02-62,1.710938
19-02-62,1.738281
20-02-62,1.746094
21-02-62,1.71875
23-02-62,1.722656
26-02-62,1.710938
27-02-62,1.726563
28-02-62,1.730469
01-03-62,1.742188
02-03-62,1.726563
05-03-62,1.71875
06-03-62,1.714844
07-03-62,1.707031
08-03-62,1.679688
09-03-62,1.691406
12-03-62,1.679688
13-03-62,1.683594
14-03-62,1.695313
15-03-62,1.722656
16-03-62,1.714844
19-03-62,1.71875
20-03-62,1.699219
21-03-62,1.695313
22-03-62,1.691406
23-03-62,1.695313
26-03-62,1.695313
27-03-62,1.695313
28-03-62,1.710938
29-03-62,1.710938
30-03-62,1.707031
02-04-62,1.707031
03-04-62,1.683594
04-04-62,1.664063
05-04-62,1.671875
06-04-62,1.664063
09-04-62,1.632813
10-04-62,1.664063
11-04-62,1.664063
12-04-62,1.644531
13-04-62,1.664063
16-04-62,1.660156
17-04-62,1.683594
18-04-62,1.707031
19-04-62,1.726563
23-04-62,1.734375
24-04-62,1.734375
25-04-62,1.746094
26-04-62,1.722656
27-04-62,1.710938
30-04-62,1.671875
01-05-62,1.699219
02-05-62,1.714844
03-05-62,1.71875
04-05-62,1.71875
07-05-62,1.714844
08-05-62,1.714844
09-05-62,1.6875
10-05-62,1.667969
11-05-62,1.644531
14-05-62,1.632813
15-05-62,1.679688
16-05-62,1.679688
17-05-62,1.664063
18-05-62,1.667969
21-05-62,1.65625
22-05-62,1.640625
23-05-62,1.621094
24-05-62,1.628906
25-05-62,1.59375
28-05-62,1.4375
29-05-62,1.589844
31-05-62,1.625
01-06-62,1.597656
04-06-62,1.554688
05-06-62,1.585938
06-06-62,1.609375
07-06-62,1.617188
08-06-62,1.605469
11-06-62,1.59375
12-06-62,1.550781
13-06-62,1.554688
14-06-62,1.535156
15-06-62,1.5625
18-06-62,1.570313
19-06-62,1.558594
20-06-62,1.550781
21-06-62,1.539063
22-06-62,1.523438
25-06-62,1.515625
26-06-62,1.507813
27-06-62,1.527344
28-06-62,1.558594
29-06-62,1.5625
02-07-62,1.566406
03-07-62,1.5625
05-07-62,1.570313
06-07-62,1.570313
09-07-62,1.570313
10-07-62,1.597656
11-07-62,1.617188
12-07-62,1.621094
13-07-62,1.621094
16-07-62,1.625
17-07-62,1.601563
18-07-62,1.601563
19-07-62,1.609375
20-07-62,1.613281
23-07-62,1.613281
24-07-62,1.617188
25-07-62,1.621094
26-07-62,1.625
27-07-62,1.621094
30-07-62,1.628906
31-07-62,1.636719
01-08-62,1.625
02-08-62,1.636719
03-08-62,1.640625
06-08-62,1.625
07-08-62,1.617188
08-08-62,1.613281
09-08-62,1.621094
10-08-62,1.621094
13-08-62,1.621094
14-08-62,1.625
15-08-62,1.625
16-08-62,1.628906
17-08-62,1.636719
20-08-62,1.644531
21-08-62,1.648438
22-08-62,1.648438
23-08-62,1.636719
24-08-62,1.628906
27-08-62,1.632813
28-08-62,1.621094
29-08-62,1.625
30-08-62,1.625
31-08-62,1.625
04-09-62,1.621094
05-09-62,1.621094
06-09-62,1.617188
07-09-62,1.625
10-09-62,1.628906
11-09-62,1.632813
12-09-62,1.648438
13-09-62,1.648438
14-09-62,1.652344
17-09-62,1.652344
18-09-62,1.660156
19-09-62,1.65625
20-09-62,1.667969
21-09-62,1.65625
24-09-62,1.632813
25-09-62,1.617188
26-09-62,1.59375
27-09-62,1.59375
28-09-62,1.609375
01-10-62,1.601563
02-10-62,1.59375
03-10-62,1.609375
04-10-62,1.621094
05-10-62,1.636719
08-10-62,1.640625
09-10-62,1.652344
10-10-62,1.648438
11-10-62,1.644531
12-10-62,1.632813
15-10-62,1.648438
16-10-62,1.652344
17-10-62,1.648438
18-10-62,1.632813
19-10-62,1.617188
22-10-62,1.582031
23-10-62,1.519531
24-10-62,1.601563
25-10-62,1.570313
26-10-62,1.570313
29-10-62,1.601563
30-10-62,1.597656
31-10-62,1.617188
01-11-62,1.644531
02-11-62,1.675781
05-11-62,1.691406
07-11-62,1.683594
08-11-62,1.675781
09-11-62,1.679688
12-11-62,1.6875
13-11-62,1.679688
14-11-62,1.695313
15-11-62,1.695313
16-11-62,1.703125
19-11-62,1.707031
20-11-62,1.71875
21-11-62,1.71875
23-11-62,1.753906
26-11-62,1.746094
27-11-62,1.742188
28-11-62,1.75
29-11-62,1.777344
30-11-62,1.761719
03-12-62,1.757813
04-12-62,1.777344
05-12-62,1.800781
06-12-62,1.792969
07-12-62,1.8125
10-12-62,1.773438
11-12-62,1.792969
12-12-62,1.8125
13-12-62,1.8125
14-12-62,1.804688
17-12-62,1.804688
18-12-62,1.804688
19-12-62,1.820313
20-12-62,1.828125
21-12-62,1.847656
24-12-62,1.839844
26-12-62,1.863281
27-12-62,1.855469
28-12-62,1.847656
31-12-62,1.859375
02-01-63,1.832031
03-01-63,1.847656
04-01-63,1.855469
07-01-63,1.855469
08-01-63,1.867188
09-01-63,1.855469
